initial state: ##..##..#.##.###....###.###.#.#.######.#.#.#.#.##.###.####..#.###...#######.####.##...#######.##..#

##... => .
....# => .
#.##. => .
..... => .
..### => .
###.. => .
#..#. => #
##.## => .
...## => #
#..## => .
#.### => .
#.#.# => #
####. => .
.###. => #
.##.# => .
##.#. => #
...#. => .
.#.#. => .
#...# => #
##### => #
..#.. => .
..#.# => #
..##. => .
###.# => #
.#### => #
#.... => .
.#..# => #
.##.. => #
#.#.. => #
##..# => .
.#... => #
.#.## => #
